region,availability_zone,environment,service,pod,namespace,instance_type
us-east-1,us-east-1a,production,api-gateway,api-gateway-7f9d8b,default,t3.large
us-east-1,us-east-1b,production,api-gateway,api-gateway-7f9d8b,default,t3.large
us-east-1,us-east-1c,production,api-gateway,api-gateway-7f9d8b,default,t3.large
us-east-1,us-east-1a,production,user-service,user-service-5c6d7e,backend,t3.xlarge
us-east-1,us-east-1b,production,user-service,user-service-5c6d7e,backend,t3.xlarge
us-east-1,us-east-1c,production,user-service,user-service-5c6d7e,backend,t3.xlarge
us-east-1,us-east-1a,production,order-service,order-service-8a9b0c,backend,t3.xlarge
us-east-1,us-east-1b,production,order-service,order-service-8a9b0c,backend,t3.xlarge
us-east-1,us-east-1c,production,order-service,order-service-8a9b0c,backend,t3.xlarge
us-east-1,us-east-1a,production,payment-service,payment-service-2d3e4f,backend,t3.2xlarge
us-east-1,us-east-1b,production,payment-service,payment-service-2d3e4f,backend,t3.2xlarge
us-east-1,us-east-1c,production,payment-service,payment-service-2d3e4f,backend,t3.2xlarge
us-east-1,us-east-1a,production,postgres,postgres-db,database,r5.4xlarge
us-east-1,us-east-1b,production,postgres,postgres-db,database,r5.4xlarge
us-east-1,us-east-1c,production,postgres,postgres-db,database,r5.4xlarge
us-east-1,us-east-1a,production,redis,redis-cache,cache,r5.xlarge
us-east-1,us-east-1b,production,redis,redis-cache,cache,r5.xlarge
us-east-1,us-east-1c,production,redis,redis-cache,cache,r5.xlarge
us-east-1,us-east-1a,production,rabbitmq,rabbitmq-queue,messaging,t3.large
us-east-1,us-east-1b,production,rabbitmq,rabbitmq-queue,messaging,t3.large
us-east-1,us-east-1a,production,nginx,nginx-ingress,ingress,t3.medium
us-east-1,us-east-1b,production,nginx,nginx-ingress,ingress,t3.medium
us-east-1,us-east-1a,production,background-jobs,celery-worker,workers,t3.large
us-east-1,us-east-1b,production,background-jobs,celery-worker,workers,t3.large
us-east-1,us-east-1c,production,background-jobs,celery-worker,workers,t3.large
us-east-1,us-east-1a,production,email-service,email-worker,workers,t3.medium
us-east-1,us-east-1b,production,email-service,email-worker,workers,t3.medium
us-east-1,us-east-1a,production,notification-service,notification-worker,workers,t3.medium
us-east-1,us-east-1b,production,notification-service,notification-worker,workers,t3.medium
us-east-1,us-east-1a,production,prometheus,prometheus-server,monitoring,t3.xlarge
us-east-1,us-east-1a,production,grafana,grafana-server,monitoring,t3.large
us-east-1,us-east-1a,production,elasticsearch,elasticsearch-master,logging,r5.2xlarge
us-east-1,us-east-1b,production,elasticsearch,elasticsearch-data,logging,r5.2xlarge
us-east-1,us-east-1c,production,elasticsearch,elasticsearch-data,logging,r5.2xlarge
us-east-1,us-east-1a,production,opensearch,opensearch-node,search,r5.xlarge
us-east-1,us-east-1b,production,opensearch,opensearch-node,search,r5.xlarge
us-east-1,us-east-1a,production,ml-inference,tensorflow-serving,ml,g4dn.xlarge
us-east-1,us-east-1b,production,ml-inference,tensorflow-serving,ml,g4dn.xlarge
us-west-2,us-west-2a,production,api-gateway,api-gateway-7f9d8b,default,t3.large
us-west-2,us-west-2b,production,api-gateway,api-gateway-7f9d8b,default,t3.large
us-west-2,us-west-2c,production,api-gateway,api-gateway-7f9d8b,default,t3.large
us-west-2,us-west-2a,production,user-service,user-service-5c6d7e,backend,t3.xlarge
us-west-2,us-west-2b,production,user-service,user-service-5c6d7e,backend,t3.xlarge
us-west-2,us-west-2c,production,user-service,user-service-5c6d7e,backend,t3.xlarge
us-west-2,us-west-2a,production,order-service,order-service-8a9b0c,backend,t3.xlarge
us-west-2,us-west-2b,production,order-service,order-service-8a9b0c,backend,t3.xlarge
us-west-2,us-west-2a,production,payment-service,payment-service-2d3e4f,backend,t3.2xlarge
us-west-2,us-west-2b,production,payment-service,payment-service-2d3e4f,backend,t3.2xlarge
us-west-2,us-west-2a,production,postgres,postgres-db,database,r5.4xlarge
us-west-2,us-west-2b,production,postgres,postgres-db,database,r5.4xlarge
us-west-2,us-west-2a,production,redis,redis-cache,cache,r5.xlarge
us-west-2,us-west-2b,production,redis,redis-cache,cache,r5.xlarge
us-west-2,us-west-2a,production,nginx,nginx-ingress,ingress,t3.medium
us-west-2,us-west-2b,production,nginx,nginx-ingress,ingress,t3.medium
eu-west-1,eu-west-1a,production,api-gateway,api-gateway-7f9d8b,default,t3.large
eu-west-1,eu-west-1b,production,api-gateway,api-gateway-7f9d8b,default,t3.large
eu-west-1,eu-west-1a,production,user-service,user-service-5c6d7e,backend,t3.xlarge
eu-west-1,eu-west-1b,production,user-service,user-service-5c6d7e,backend,t3.xlarge
eu-west-1,eu-west-1a,production,order-service,order-service-8a9b0c,backend,t3.xlarge
eu-west-1,eu-west-1b,production,order-service,order-service-8a9b0c,backend,t3.xlarge
eu-west-1,eu-west-1a,production,postgres,postgres-db,database,r5.4xlarge
eu-west-1,eu-west-1b,production,postgres,postgres-db,database,r5.4xlarge
us-east-1,us-east-1a,staging,api-gateway,api-gateway-7f9d8b,default,t3.medium
us-east-1,us-east-1b,staging,api-gateway,api-gateway-7f9d8b,default,t3.medium
us-east-1,us-east-1a,staging,user-service,user-service-5c6d7e,backend,t3.large
us-east-1,us-east-1b,staging,user-service,user-service-5c6d7e,backend,t3.large
us-east-1,us-east-1a,staging,order-service,order-service-8a9b0c,backend,t3.large
us-east-1,us-east-1b,staging,order-service,order-service-8a9b0c,backend,t3.large
us-east-1,us-east-1a,staging,payment-service,payment-service-2d3e4f,backend,t3.large
us-east-1,us-east-1a,staging,postgres,postgres-db,database,r5.xlarge
us-east-1,us-east-1a,staging,redis,redis-cache,cache,r5.large
us-east-1,us-east-1a,development,api-gateway,api-gateway-7f9d8b,default,t3.small
us-east-1,us-east-1a,development,user-service,user-service-5c6d7e,backend,t3.medium
us-east-1,us-east-1a,development,order-service,order-service-8a9b0c,backend,t3.medium
us-east-1,us-east-1a,development,postgres,postgres-db,database,r5.large
