product_type,product_item,base_price
Sandwich,CrispyChicken,6.50
Sandwich,GrilledChicken,6.75
Sandwich,BigMac,7.25
Sandwich,QuarterPounder,7.50
Sandwich,SpicyChicken,6.95
Sandwich,VeggieDelight,5.95
Sandwich,TurkeyClub,6.85
Sandwich,BLT,6.45
Sandwich,ChipotleChicken,7.10
Sandwich,BBQBeef,7.60
Drinks,Coke,2.50
Drinks,DietCoke,2.50
Drinks,Sprite,2.50
Drinks,OrangeJuice,3.25
Drinks,Latte,4.25
Drinks,ColdBrew,4.75
Drinks,IcedCoffee,3.85
Drinks,Mocha,4.95
Drinks,MatchaLatte,5.25
Drinks,Milkshake,4.50
Combo,ChickenCombo,9.99
Combo,BurgerFriesDrink,10.50
Combo,FamilyBucket,18.99
Combo,KidsMeal,6.75
Combo,DoubleChickenCombo,12.25
Combo,ValueMealA,8.50
Combo,ValueMealB,8.95
Combo,PremiumCombo,11.50
Combo,HealthyCombo,10.25
Combo,SnackCombo,7.25
Dessert,IceCream,3.25
Dessert,Cookie,1.75
Dessert,Brownie,2.95
Dessert,ApplePie,2.50
Dessert,CheesecakeSlice,4.50
Dessert,ChocolateSundae,3.95
Dessert,VanillaSundae,3.75
Dessert,Donut,1.95
Dessert,ChocolateChipCookie,1.95
Dessert,BlueberryMuffin,2.85


