chain,merchant_id,city,product_type,product_item,order_num,quantity,transaction_time,order_status,price
McDonalds,CHI001,Chicago,Combo,HealthyCombo,1,1,2025-12-15T14:56:28.096530,COMPLETE,10.08
McDonalds,CHI001,Chicago,Sandwich,BBQBeef,2,1,2025-12-15T14:56:28.151832,COMPLETE,7.32
McDonalds,NYC002,New York,Combo,ValueMealA,1,1,2025-12-15T14:56:28.003478,COMPLETE,8.72
Burger King,PHI201,Philadelphia,Combo,SnackCombo,1,1,2025-12-15T14:56:28.028893,COMPLETE,7.48
Burger King,CHI202,Chicago,Dessert,BlueberryMuffin,1,1,2025-12-15T14:56:28.020926,COMPLETE,2.71
KFC,DAL301,Dallas,Combo,SnackCombo,1,1,2025-12-15T14:56:28.044118,COMPLETE,7.12
McDonalds,CHI001,Chicago,Sandwich,BBQBeef,3,1,2025-12-15T14:56:28.230963,COMPLETE,8.19
Starbucks,SF102,San Francisco,Combo,BurgerFriesDrink,1,2,2025-12-15T14:56:28.049615,COMPLETE,21.64
McDonalds,SF001,San Francisco,Sandwich,GrilledChicken,1,1,2025-12-15T14:56:28.047400,COMPLETE,7.04
Burger King,ATL201,Atlanta,Combo,FamilyBucket,1,1,2025-12-15T14:56:28.037930,COMPLETE,19.92
McDonalds,SF001,San Francisco,Sandwich,QuarterPounder,2,2,2025-12-15T14:56:28.106829,COMPLETE,15.11
KFC,SEA301,Seattle,Combo,BurgerFriesDrink,1,2,2025-12-15T14:56:28.087841,COMPLETE,21.07
Starbucks,SF102,San Francisco,Combo,ValueMealB,2,1,2025-12-15T14:56:28.132842,COMPLETE,8.6
McDonalds,DAL001,Dallas,Dessert,IceCream,1,1,2025-12-15T14:56:28.035382,COMPLETE,3.31
Chipotle,PHI401,Philadelphia,Drinks,ColdBrew,1,1,2025-12-15T14:56:28.007331,COMPLETE,5.0
Starbucks,NYC102,New York,Combo,SnackCombo,1,2,2025-12-15T14:56:28.008675,COMPLETE,14.65
